['2025年5月16日', '82.49', '82.49', '82.39', '82.40', '82.40', '3,528,300']
['2025年5月15日', '82.38', '82.42', '82.35', '82.42', '82.42', '3,449,300']
['2025年5月14日', '82.33', '82.35', '82.26', '82.26', '82.26', '3,960,300']
['2025年5月13日', '82.39', '82.39', '82.30', '82.32', '82.32', '4,241,200']
['2025年5月12日', '82.33', '82.39', '82.32', '82.34', '82.34', '4,386,600']
['2025年5月9日', '82.53', '82.57', '82.49', '82.49', '82.49', '2,009,600']
['2025年5月8日', '82.59', '82.60', '82.44', '82.45', '82.45', '3,566,000']
['2025年5月7日', '82.59', '82.66', '82.56', '82.62', '82.62', '2,522,500']
['2025年5月6日', '82.59', '82.61', '82.57', '82.59', '82.59', '3,476,300']
['2025年5月5日', '82.57', '82.58', '82.49', '82.52', '82.52', '3,420,300']
['2025年5月2日', '82.62', '82.65', '82.50', '82.53', '82.53', '4,556,100']
['2025年5月1日', '0.259股息']
['2025年5月1日', '82.89', '82.90', '82.66', '82.69', '82.69', '5,150,400']
['2025年4月30日', '83.04', '83.12', '83.03', '83.12', '82.86', '5,104,800']
['2025年4月29日', '82.94', '83.02', '82.93', '83.01', '82.75', '3,832,200']
['2025年4月28日', '82.85', '82.96', '82.84', '82.96', '82.70', '2,847,000']
['2025年4月25日', '82.79', '82.85', '82.76', '82.84', '82.58', '2,259,800']
['2025年4月24日', '82.73', '82.77', '82.71', '82.77', '82.51', '3,993,500']
['2025年4月23日', '82.75', '82.80', '82.63', '82.67', '82.41', '3,647,400']
['2025年4月22日', '82.76', '82.78', '82.71', '82.73', '82.47', '3,521,700']
['2025年4月21日', '82.78', '82.85', '82.70', '82.70', '82.44', '5,283,700']
['2025年4月17日', '82.75', '82.79', '82.71', '82.75', '82.49', '3,384,000']
['2025年4月16日', '82.70', '82.74', '82.66', '82.72', '82.46', '3,178,900']
['2025年4月15日', '82.61', '82.67', '82.60', '82.61', '82.35', '3,090,700']
['2025年4月14日', '82.48', '82.63', '82.48', '82.61', '82.35', '5,006,100']
['2025年4月11日', '82.53', '82.55', '82.40', '82.43', '82.17', '6,585,900']
['2025年4月10日', '82.59', '82.66', '82.53', '82.58', '82.32', '10,029,500']
['2025年4月9日', '82.70', '82.79', '82.31', '82.59', '82.33', '25,591,000']
['2025年4月8日', '82.54', '82.81', '82.54', '82.64', '82.38', '13,086,100']
['2025年4月7日', '82.89', '82.94', '82.52', '82.69', '82.43', '18,363,100']
['2025年4月4日', '82.98', '83.07', '82.68', '82.68', '82.42', '12,599,700']
['2025年4月3日', '82.69', '82.77', '82.67', '82.73', '82.47', '6,729,500']
['2025年4月2日', '82.53', '82.53', '82.39', '82.42', '82.16', '3,071,600']
['2025年4月1日', '0.28股息']
['2025年4月1日', '82.46', '82.52', '82.44', '82.48', '82.22', '4,326,400']
['2025年3月31日', '82.74', '82.77', '82.66', '82.73', '82.19', '4,593,200']
['2025年3月28日', '82.59', '82.69', '82.59', '82.67', '82.13', '4,087,900']
['2025年3月27日', '82.52', '82.55', '82.50', '82.52', '81.98', '2,187,600']
