['2025年5月16日', '591.25', '594.50', '589.28', '594.20', '594.20', '74,899,200']
['2025年5月15日', '585.56', '590.97', '585.10', '590.46', '590.46', '71,268,100']
['2025年5月14日', '587.81', '588.98', '585.54', '587.59', '587.59', '66,283,500']
['2025年5月13日', '583.41', '589.08', '582.84', '586.84', '586.84', '67,947,200']
['2025年5月12日', '581.47', '583.00', '577.04', '582.99', '582.99', '78,993,600']
['2025年5月9日', '566.48', '567.50', '562.76', '564.34', '564.34', '37,603,400']
['2025年5月8日', '565.24', '570.31', '561.70', '565.06', '565.06', '65,130,800']
['2025年5月7日', '560.15', '563.82', '556.04', '561.15', '561.15', '55,588,000']
['2025年5月6日', '557.93', '563.35', '556.96', '558.80', '558.80', '48,264,700']
['2025年5月5日', '562.57', '566.65', '561.70', '563.51', '563.51', '38,659,200']
['2025年5月2日', '564.73', '568.38', '562.38', '566.76', '566.76', '60,717,300']
['2025年5月1日', '560.37', '564.07', '557.86', '558.47', '558.47', '63,186,100']
['2025年4月30日', '547.57', '556.52', '541.52', '554.54', '554.54', '93,101,500']
['2025年4月29日', '548.91', '555.45', '548.55', '554.32', '554.32', '47,775,100']
['2025年4月28日', '551.39', '553.55', '545.02', '550.85', '550.85', '47,613,800']
['2025年4月25日', '546.65', '551.05', '543.69', '550.64', '550.64', '61,119,600']
['2025年4月24日', '536.72', '547.43', '535.45', '546.69', '546.69', '64,150,400']
['2025年4月23日', '540.43', '545.43', '533.88', '535.42', '535.42', '90,590,700']
['2025年4月22日', '520.14', '529.30', '519.19', '527.25', '527.25', '75,948,100']
['2025年4月21日', '521.16', '521.70', '508.46', '513.88', '513.88', '69,368,100']
['2025年4月17日', '527.64', '531.17', '523.91', '526.41', '526.41', '79,741,000']
['2025年4月16日', '531.68', '537.89', '520.29', '525.66', '525.66', '83,484,800']
['2025年4月15日', '539.67', '543.23', '536.81', '537.61', '537.61', '56,892,900']
['2025年4月14日', '544.05', '544.28', '533.86', '539.12', '539.12', '68,034,000']
['2025年4月11日', '523.01', '536.43', '520.07', '533.94', '533.94', '97,866,300']
['2025年4月10日', '532.17', '533.50', '509.32', '524.58', '524.58', '162,331,200']
['2025年4月9日', '493.44', '548.62', '493.05', '548.62', '548.62', '241,867,300']
['2025年4月8日', '521.86', '524.98', '489.16', '496.48', '496.48', '165,816,600']
['2025年4月7日', '489.19', '523.17', '481.80', '504.38', '504.38', '256,611,400']
['2025年4月4日', '523.67', '525.87', '505.06', '505.28', '505.28', '217,965,100']
['2025年4月3日', '545.11', '547.97', '536.70', '536.70', '536.70', '125,986,000']
['2025年4月2日', '555.05', '567.42', '554.81', '564.52', '564.52', '76,014,500']
['2025年4月1日', '557.45', '562.94', '553.68', '560.97', '560.97', '54,609,600']
['2025年3月31日', '549.83', '560.71', '546.87', '559.39', '559.39', '95,328,200']
['2025年3月28日', '565.53', '566.27', '555.07', '555.66', '555.66', '71,662,700']
['2025年3月27日', '567.18', '570.90', '564.94', '567.08', '567.08', '42,164,200']
['2025年3月26日', '575.19', '576.33', '567.19', '568.59', '568.59', '51,848,300']
['2025年3月25日', '575.30', '576.41', '573.69', '575.46', '575.46', '38,355,700']
['2025年3月24日', '570.80', '575.15', '570.20', '574.08', '574.08', '58,766,800']
['2025年3月21日', '1.696股息']
['2025年3月21日', '559.28', '564.89', '558.03', '563.98', '563.98', '83,763,000']
['2025年3月20日', '563.33', '570.57', '562.60', '565.49', '563.79', '62,958,200']
['2025年3月19日', '562.83', '570.95', '561.63', '567.13', '565.43', '66,556,000']
['2025年3月18日', '564.80', '565.02', '559.06', '561.02', '559.34', '66,041,400']
['2025年3月17日', '562.79', '569.71', '562.35', '567.15', '565.45', '49,008,700']
['2025年3月14日', '556.11', '563.83', '551.49', '562.81', '561.12', '62,660,300']
['2025年3月13日', '558.49', '559.11', '549.68', '551.42', '549.77', '74,079,400']
['2025年3月12日', '562.17', '563.11', '553.69', '558.87', '557.19', '69,588,200']
['2025年3月11日', '559.40', '564.02', '552.02', '555.92', '554.25', '88,102,100']
['2025年3月10日', '567.59', '569.54', '555.59', '560.58', '558.90', '99,326,600']
['2025年3月7日', '570.90', '577.39', '565.63', '575.92', '574.19', '81,158,800']
['2025年3月6日', '575.48', '580.17', '570.12', '572.71', '570.99', '80,094,900']
['2025年3月5日', '576.69', '584.88', '573.08', '583.06', '581.31', '71,230,500']
['2025年3月4日', '579.71', '585.39', '572.25', '576.86', '575.13', '109,648,200']
['2025年3月3日', '596.18', '597.34', '579.90', '583.77', '582.02', '74,249,200']
['2025年2月28日', '585.56', '594.72', '582.44', '594.18', '592.40', '88,744,100']
['2025年2月27日', '596.85', '598.02', '584.65', '585.05', '583.30', '74,196,700']
['2025年2月26日', '595.93', '599.58', '591.86', '594.54', '592.76', '43,321,600']
['2025年2月25日', '597.15', '597.89', '589.56', '594.24', '592.46', '58,266,500']
['2025年2月24日', '602.02', '603.03', '596.49', '597.21', '595.42', '50,737,200']
['2025年2月21日', '610.16', '610.30', '599.47', '599.94', '598.14', '76,519,800']
['2025年2月20日', '611.54', '611.68', '607.02', '610.38', '608.55', '36,554,000']
['2025年2月19日', '610.08', '613.23', '609.56', '612.93', '611.09', '31,011,100']
['2025年2月18日', '610.88', '611.49', '608.38', '611.49', '609.66', '26,749,000']
['2025年2月14日', '609.94', '610.99', '609.07', '609.70', '607.87', '26,910,400']
['2025年2月13日', '604.48', '609.94', '603.20', '609.73', '607.90', '40,921,300']
['2025年2月12日', '599.20', '604.55', '598.51', '603.36', '601.55', '45,076,100']
['2025年2月11日', '602.55', '605.86', '602.43', '605.31', '603.49', '30,056,700']
['2025年2月10日', '604.03', '605.50', '602.74', '604.85', '603.04', '26,048,700']
['2025年2月7日', '606.89', '608.13', '600.05', '600.77', '598.97', '50,788,500']
['2025年2月6日', '605.99', '606.45', '602.63', '606.32', '604.50', '35,771,500']
['2025年2月5日', '600.64', '604.37', '598.58', '604.22', '602.41', '30,653,100']
['2025年2月4日', '597.83', '602.30', '597.28', '601.78', '599.98', '33,457,800']
['2025年2月3日', '592.67', '600.29', '590.49', '597.77', '595.98', '65,857,200']
['2025年1月31日', '607.50', '609.96', '601.05', '601.82', '600.02', '66,671,500']
['2025年1月30日', '603.96', '606.60', '600.72', '605.04', '603.23', '39,281,300']
['2025年1月29日', '603.72', '604.13', '599.22', '601.81', '600.01', '37,177,400']
['2025年1月28日', '600.62', '605.37', '597.25', '604.52', '602.71', '44,433,300']
['2025年1月27日', '594.81', '599.69', '594.64', '599.37', '597.57', '70,361,100']
['2025年1月24日', '609.81', '610.78', '606.80', '607.97', '606.15', '34,604,700']
['2025年1月23日', '605.80', '609.75', '605.52', '609.75', '607.92', '41,152,100']
['2025年1月22日', '605.92', '607.82', '605.36', '606.44', '604.62', '48,196,000']
['2025年1月21日', '600.67', '603.06', '598.67', '603.05', '601.24', '42,532,900']
['2025年1月17日', '596.96', '599.36', '595.61', '597.58', '595.79', '58,070,600']
['2025年1月16日', '594.17', '594.35', '590.93', '591.64', '589.87', '43,319,700']
['2025年1月15日', '590.33', '593.94', '589.20', '592.78', '591.00', '56,900,200']
['2025年1月14日', '584.36', '585.00', '578.35', '582.19', '580.44', '48,420,600']
